Entry	Entry Name	Gene Names	Length	Gene Ontology (cellular component)
P00359	G3P3_YEAST	TDH3 GPD3 YGR192C G7576	332	cytoplasm [GO:0005737]; cytosol [GO:0005829]; fungal-type cell wall [GO:0009277]; lipid droplet [GO:0005811]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P00360	G3P1_YEAST	TDH1 GPD1 SSS2 YJL052W J1154	332	cytosol [GO:0005829]; fungal-type cell wall [GO:0009277]; lipid droplet [GO:0005811]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
P00401	COX1_YEAST	COX1 OXI3 Q0045	534	mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]
P00410	COX2_YEAST	COX2 OXI1 Q0250	251	mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]
P00420	COX3_YEAST	COX3 OXI2 Q0275	269	mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]
P00424	COX5A_YEAST	COX5A YNL052W N2474 YNL2474W	153	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]
P00431	CCPR_YEAST	CCP1 CCP CPO YKR066C	361	mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
P00445	SODC_YEAST	SOD1 YJR104C J1968	154	cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; superoxide dismutase complex [GO:1902693]
P00546	CDK1_YEAST	CDC28 CDK1 HSL5 SRM5 YBR160W YBR1211	298	cellular bud neck [GO:0005935]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; endoplasmic reticulum [GO:0005783]; nucleus [GO:0005634]
P00549	KPYK1_YEAST	CDC19 PYK1 YAL038W	500	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P00560	PGK_YEAST	PGK1 YCR012W YCR12W	416	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
P00572	KTHY_YEAST	CDC8 YJR057W J1715	216	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P00635	PPA5_YEAST	PHO5 YBR093C YBR0814	467	cell periphery [GO:0071944]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
P00724	INV2_YEAST	SUC2 YIL162W	532	cell periphery [GO:0071944]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; fungal-type vacuole [GO:0000324]; mitochondrion [GO:0005739]
P00729	CBPY_YEAST	PRC1 YMR297W	532	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; fungal-type vacuole [GO:0000324]; fungal-type vacuole lumen [GO:0000328]; vacuolar lumen [GO:0005775]
P00812	ARGI_YEAST	CAR1 YPL111W LPH15W	333	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mating projection tip [GO:0043332]; nucleus [GO:0005634]; ornithine carbamoyltransferase inhibitor complex [GO:1903269]
P00815	HIS2_YEAST	HIS4 YCL030C YCL183 YCL30C	799	cytoplasm [GO:0005737]
P00817	IPYR_YEAST	IPP1 PPA PPA1 YBR011C YBR0202	287	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P00830	ATPB_YEAST	ATP2 YJR121W J2041	511	cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; proton-transporting ATP synthase complex [GO:0045259]
P00854	ATP6_YEAST	ATP6 OLI2 OLI4 PHO1 Q0085	259	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; proton-transporting ATP synthase complex [GO:0045259]
P00890	CISY1_YEAST	CIT1 GLU3 LYS6 YNR001C N2019	479	cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
P00924	ENO1_YEAST	ENO1 ENOA HSP48 YGR254W G9160	437	cytoplasm [GO:0005737]; cytosol [GO:0005829]; fungal-type vacuole [GO:0000324]; mitochondrion [GO:0005739]; phosphopyruvate hydratase complex [GO:0000015]; plasma membrane [GO:0005886]
P00925	ENO2_YEAST	ENO2 ENOB YHR174W	437	cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; fungal-type vacuole [GO:0000324]; mitochondrion [GO:0005739]; phosphopyruvate hydratase complex [GO:0000015]; plasma membrane [GO:0005886]
P00927	THDH_YEAST	ILV1 YER086W	576	mitochondrion [GO:0005739]
P00937	TRPG_YEAST	TRP3 YKL211C	484	anthranilate synthase complex [GO:0005950]; cytoplasm [GO:0005737]
P00942	TPIS_YEAST	TPI1 YDR050C YD9609.05C	248	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
P00950	PMG1_YEAST	GPM1 GPM YKL152C YKL607	247	cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]
P00958	SYMC_YEAST	MES1 YGR264C	751	aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; methionyl glutamyl tRNA synthetase complex [GO:0017102]
P01094	IPA3_YEAST	PAI3 YMR174C YM8010.04C	68	cytoplasm [GO:0005737]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; vacuole [GO:0005773]
P01097	ATIF_YEAST	INH1 YDL181W D1305	85	mitochondrion [GO:0005739]
P01119	RAS1_YEAST	RAS1 YOR101W YOR3205W	309	cell periphery [GO:0071944]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P01120	RAS2_YEAST	RAS2 ASC1 CTN5 GLC5 YNL098C N2198	322	cell periphery [GO:0071944]; endoplasmic reticulum membrane [GO:0005789]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P01123	YPT1_YEAST	YPT1 YP2 YFL038C	206	cis-Golgi network [GO:0005801]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endomembrane system [GO:0012505]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; Golgi stack [GO:0005795]; mitochondrion [GO:0005739]; phagophore assembly site [GO:0000407]; phagophore assembly site membrane [GO:0034045]
P02293	H2B1_YEAST	HTB1 H2B1 SPT12 YDR224C YD9934.09C	131	nucleosome [GO:0000786]; nucleus [GO:0005634]
P02294	H2B2_YEAST	HTB2 H2B2 YBL002W YBL0104	131	nucleosome [GO:0000786]; nucleus [GO:0005634]
P02309	H4_YEAST	HHF1 YBR009C YBR0122; HHF2 YNL030W N2752	103	nucleosome [GO:0000786]; nucleus [GO:0005634]; RNA polymerase I upstream activating factor complex [GO:0000500]
P02400	RLA4_YEAST	RPP2B L12EIA RPL45 RPLA4 YDR382W	110	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; fungal-type vacuole [GO:0000324]
P02406	RL28_YEAST	RPL28 CYH2 YGL103W	149	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; nucleus [GO:0005634]
P02557	TBB_YEAST	TUB2 YFL037W	457	cytoplasm [GO:0005737]; microtubule [GO:0005874]; tubulin complex [GO:0045298]
P02829	HSP82_YEAST	HSP82 HSP90 YPL240C	709	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]
P02992	EFTU_YEAST	TUF1 TUFM YOR187W	437	mitochondrion [GO:0005739]
P02994	EF1A_YEAST	TEF1 YPR080W P9513.7; TEF2 YBR118W YBR0913	458	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; eukaryotic translation elongation factor 1 complex [GO:0005853]; fungal-type vacuole membrane [GO:0000329]; mitochondrion [GO:0005739]; ribosome [GO:0005840]
P03069	GCN4_YEAST	GCN4 AAS101 AAS3 ARG9 YEL009C	281	nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]; transcription regulator complex [GO:0005667]
P03870	FLP_YEAST	FLP1 R0010W	423	
P03871	REP1_YEAST	REP1 R0020C	373	nuclear chromosome [GO:0000228]; nucleus [GO:0005634]
P03873	MBI2_YEAST	BI2 Q0110	423	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
P03877	SCE3_YEAST	AI3 ENS3 I-SCEIII Q0060	415	mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]
P03878	SCE2_YEAST	AI4 ENS2 I-SCEII Q0065	556	mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]
P03879	MBI4_YEAST	BI4 SCBI4 Q0120	638	mitochondrion [GO:0005739]
P03962	PYRF_YEAST	URA3 YEL021W	267	cytosol [GO:0005829]
P03965	CARB_YEAST	CPA2 YJR109C J2002	1118	carbamoyl-phosphate synthase complex [GO:0005951]; cytoplasm [GO:0005737]
P04037	COX4_YEAST	COX4 YGL187C G1362	155	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]
P04039	COX8_YEAST	COX8 YLR395C L8084.14	78	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]
P04050	RPB1_YEAST	RPO21 RPB1 RPB220 SUA8 YDL140C D2150	1733	cytoplasmic stress granule [GO:0010494]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; RNA polymerase II, core complex [GO:0005665]
P04051	RPC1_YEAST	RPO31 RPC1 RPC160 YOR116C O3254 YOR3254C	1460	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase III complex [GO:0005666]
P04147	PABP_YEAST	PAB1 YER165W	577	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]
P04385	GAL1_YEAST	GAL1 YBR020W YBR0302	528	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]
P04386	GAL4_YEAST	GAL4 YPL248C	881	nucleus [GO:0005634]; transcription repressor complex [GO:0017053]
P04387	GAL80_YEAST	GAL80 YML051W YM9827.01 YM9958.12	435	cytoplasm [GO:0005737]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]; transcription repressor complex [GO:0017053]
P04397	GAL10_YEAST	GAL10 YBR019C YBR0301	699	cytosol [GO:0005829]
P04449	RL24A_YEAST	RPL24A RP29 RPL30A YGL031C	155	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]
P04456	RL25_YEAST	RPL25 YOL127W	142	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; preribosome, large subunit precursor [GO:0030687]
P04710	ADT1_YEAST	AAC1 YMR056C YM9796.09C	309	cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]
P04786	TOP1_YEAST	TOP1 MAK1 YOL006C	769	chromosome [GO:0005694]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P04802	SYDC_YEAST	DPS1 APS APS1 YLL018C L1295	557	aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P04806	HXKA_YEAST	HXK1 HKA YFR053C	485	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]
P04807	HXKB_YEAST	HXK2 HEX1 HKB YGL253W NRB486	486	cytosol [GO:0005829]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
P04817	CAN1_YEAST	CAN1 YEL063C	590	eisosome [GO:0032126]; endoplasmic reticulum [GO:0005783]; endosome membrane [GO:0010008]; membrane [GO:0016020]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
P04819	DNLI1_YEAST	CDC9 YDL164C	755	mitochondrion [GO:0005739]; nucleus [GO:0005634]
P04821	CDC25_YEAST	CDC25 CTN1 YLR310C L2142.6	1589	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P04840	VDAC1_YEAST	POR1 OMP2 VDAC1 YNL055C N2441 YNL2441C	283	cytoplasm [GO:0005737]; mitochondrial inner-outer membrane contact site [GO:0044289]; mitochondrial intermembrane space [GO:0005758]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; pore complex [GO:0046930]
P04911	H2A1_YEAST	HTA1 H2A1 SPT11 YDR225W YD9934.10	132	nucleosome [GO:0000786]; nucleus [GO:0005634]
P04912	H2A2_YEAST	HTA2 H2A2 YBL003C YBL0103	132	nucleosome [GO:0000786]; nucleus [GO:0005634]
P05030	PMA1_YEAST	PMA1 YGL008C	918	cytosol [GO:0005829]; eisosome [GO:0032126]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
P05066	PHR_YEAST	PHR1 YOR386W	565	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
P05150	OTC_YEAST	ARG3 YJL088W J0924	338	cytosol [GO:0005829]; mitochondrion [GO:0005739]; ornithine carbamoyltransferase inhibitor complex [GO:1903269]
P05317	RLA0_YEAST	RPP0 L10E RPA0 RPL10E RPLA0 YLR340W L8300.8	312	90S preribosome [GO:0030686]; cytoplasm [GO:0005737]; cytosolic large ribosomal subunit [GO:0022625]
P05318	RLA1_YEAST	RPP1A L12EIIA RPA1 RPLA1 YDL081C	106	cytosolic large ribosomal subunit [GO:0022625]
P05319	RLA2_YEAST	RPP2A L12EIB RPA2 RPL44 RPLA2 YOL039W	106	cytosolic large ribosomal subunit [GO:0022625]
P05373	HEM2_YEAST	HEM2 YGL040C	342	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P05374	CHO2_YEAST	CHO2 PEM1 YGR157W G6673	869	cell periphery [GO:0071944]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]
P05375	PLMT_YEAST	OPI3 PEM2 YJR073C J1824	206	cell periphery [GO:0071944]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]
P05453	ERF3_YEAST	SUP35 GST1 PNM2 SAL3 SUF12 SUP2 YDR172W YD9395.05	685	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; translation release factor complex [GO:0018444]
P05694	METE_YEAST	MET6 YER091C	767	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P05737	RL7A_YEAST	RPL7A RPL6A RPL8A YL8A YGL076C	244	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]
P05739	RL6B_YEAST	RPL6B RPL16B RPL17B YL16B YLR448W L9324.4	176	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]
P05740	RL17A_YEAST	RPL17A RPL17 RPL20A YKL180W	184	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; preribosome, large subunit precursor [GO:0030687]
P05744	RL33A_YEAST	RPL33A RPL37A YPL143W LPI4W P2625	107	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]
P05745	RL36A_YEAST	RPL36A RPL39A YMR194W YM9646.06	100	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]
P05748	RL15A_YEAST	RPL15A RPL10A RPL13A YL10A YLR029C	204	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]
P05750	RS3_YEAST	RPS3 SUF14 YNL178W N1653	240	90S preribosome [GO:0030686]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; nucleus [GO:0005634]; preribosome, small subunit precursor [GO:0030688]
P05755	RS9B_YEAST	RPS9B RPS13B SUP46 YBR189W YBR1317	195	90S preribosome [GO:0030686]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; small-subunit processome [GO:0032040]
P05756	RS13_YEAST	RPS13 RPS13C YDR064W D4252 YD9609.18	151	90S preribosome [GO:0030686]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; nucleolus [GO:0005730]
P05759	RS31_YEAST	RPS31 RPS37 UBI3 YLR167W L9470.14	152	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; nucleus [GO:0005634]
P05986	KAPC_YEAST	TPK3 PKA3 YKL166C YKL630	398	cAMP-dependent protein kinase complex [GO:0005952]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; nucleus [GO:0005634]; P-body [GO:0000932]
P06100	NOT2_YEAST	CDC36 DNA19 NOT2 YDL165W	191	CCR4-NOT core complex [GO:0030015]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
P06101	CDC37_YEAST	CDC37 SMO1 YDR168W YD9489.03	506	cytoplasm [GO:0005737]
P06102	NOT3_YEAST	NOT3 YIL038C	836	CCR4-NOT core complex [GO:0030015]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; P-body [GO:0000932]
P06103	EIF3B_YEAST	PRT1 CDC63 YOR361C	763	cytoplasmic stress granule [GO:0010494]; eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; multi-eIF complex [GO:0043614]
P06104	UBC2_YEAST	RAD6 UBC2 YGL058W	172	chromatin [GO:0000785]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; HULC complex [GO:0033503]; MUB1-RAD6-UBR2 ubiquitin ligase complex [GO:1990304]; nucleus [GO:0005634]; Rad6-Rad18 complex [GO:0097505]; RAD6-UBR2 ubiquitin ligase complex [GO:1990305]; UBR1-RAD6 ubiquitin ligase complex [GO:1990303]
P06105	SC160_YEAST	SCP160 HX YJL080C J1017	1222	chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; fungal-type vacuole membrane [GO:0000329]; nuclear membrane [GO:0031965]; nuclear outer membrane-endoplasmic reticulum membrane network [GO:0042175]
P06106	CYSD_YEAST	MET17 MET15 MET25 YLR303W L8003.1	444	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P06115	CATT_YEAST	CTT1 YGR088W	562	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; peroxisome [GO:0005777]
P06168	ILV5_YEAST	ILV5 YLR355C L9638.7	395	mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]
P06169	PDC1_YEAST	PDC1 YLR044C L2104	563	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P06197	PIS_YEAST	PIS1 YPR113W P8283.5	220	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]
P06208	LEU1_YEAST	LEU4 YNL104C N2173	619	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]
P06242	KIN28_YEAST	KIN28 YDL108W D2330	306	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; transcription factor TFIIH holo complex [GO:0005675]; transcription factor TFIIK complex [GO:0070985]
P06243	CDC7_YEAST	CDC7 OAF2 YDL017W D2855	507	centrosome [GO:0005813]; chromatin [GO:0000785]; chromosome, centromeric region [GO:0000775]; cytoplasm [GO:0005737]; Dbf4-dependent protein kinase complex [GO:0031431]; nucleus [GO:0005634]
P06244	KAPA_YEAST	TPK1 PKA1 SRA3 YJL164C J0541	397	cAMP-dependent protein kinase complex [GO:0005952]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P06245	KAPB_YEAST	TPK2 PKA2 YKR1 YPL203W	380	cAMP-dependent protein kinase complex [GO:0005952]; chromatin [GO:0000785]; cytosol [GO:0005829]; nucleus [GO:0005634]; P-body [GO:0000932]
P06367	RS14A_YEAST	RPS14A CRY1 RPL59 YCR031C YCR31C	137	90S preribosome [GO:0030686]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]
P06634	DED1_YEAST	DED1 SPP81 YOR204W	604	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; nucleus [GO:0005634]
P06700	SIR2_YEAST	SIR2 MAR1 YDL042C D2714	562	chromatin silencing complex [GO:0005677]; chromosome, telomeric region [GO:0000781]; heterochromatin [GO:0000792]; nucleolus [GO:0005730]; nucleus [GO:0005634]; RENT complex [GO:0030869]
P06701	SIR3_YEAST	SIR3 CMT1 MAR2 STE8 YLR442C L9753.10	978	chromatin silencing complex [GO:0005677]; chromosome, telomeric region [GO:0000781]; heterochromatin [GO:0000792]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]
P06704	CDC31_YEAST	CDC31 DSK1 YOR257W	161	half bridge of spindle pole body [GO:0005825]; mitotic spindle pole body [GO:0044732]; nuclear envelope [GO:0005635]; transcription export complex 2 [GO:0070390]
P06738	PHSG_YEAST	GPH1 YPR160W P9584.1	902	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P06774	HAP2_YEAST	HAP2 YGL237C	265	CCAAT-binding factor complex [GO:0016602]; nucleus [GO:0005634]
P06777	RAD1_YEAST	RAD1 YPL022W	1100	endonuclease complex [GO:1905348]; nucleotide-excision repair factor 1 complex [GO:0000110]; nucleus [GO:0005634]
P06778	RAD52_YEAST	RAD52 YML032C	471	mitochondrion [GO:0005739]; nuclear chromosome [GO:0000228]; nucleus [GO:0005634]
P06779	RAD7_YEAST	RAD7 YJR052W J1665	565	Cul3-RING ubiquitin ligase complex [GO:0031463]; cytoplasm [GO:0005737]; nucleotide-excision repair factor 4 complex [GO:0000113]
