protein1,protein2,label
P53889,Q08826,0
P47184,Q08270,0
P38344,Q03390,0
P0C2H9,P53964,0
A0A023PXJ3,Q12492,0
P10863,P34730,0
P38428,P40476,0
Q02753,Q03554,0
P36065,Q05775,0
P40319,P47016,0
Q07688,Q08980,0
P36125,Q99326,0
P38629,Q96VG6,0
P25303,Q04413,0
P31334,Q8TGK5,0
P35733,P40166,0
P0CL27,P53630,0
P04037,P53139,0
O13586,P40538,0
P22133,Q07716,0
P32656,P43588,0
P38626,P40202,0
P25627,P53726,0
P25602,Q06522,0
P53314,P53551,0
P34238,P53088,0
P38075,P53072,0
Q03430,Q99373,0
E9PAF1,P0C5R5,0
P20434,Q12343,1
Q02651,Q6Q571,0
P53845,Q08503,0
P10355,Q06630,0
O13563,P53397,0
P00854,P36149,0
P53722,Q04501,0
P38808,P43587,0
P43639,Q12476,0
A0A023PZH4,P29055,0
A0A023PYD9,P36042,0
P46993,P48558,0
P38089,P53144,0
P29453,P38316,0
P38238,Q03051,0
P50107,Q04806,0
P38216,P47137,0
P36526,P47150,1
P25631,P36078,0
P20434,Q03290,1
P39548,Q07921,0
P22353,P42847,1
A0A023PZB8,O13525,0
Q04438,Q07549,0
P34087,P53105,0
P53750,Q86ZR7,0
A0A023PXP7,P03069,0
P48589,P53167,0
P15732,Q08278,0
Q08522,Q3E834,0
P36534,Q03976,1
Q04549,Q07505,0
P47064,Q12174,0
P38343,P53188,0
Q02873,Q12003,0
A0A023PYD9,P28625,0
P38913,P40505,0
P17558,P20486,0
P21243,P30657,1
P38726,P53343,0
E9PAF1,Q04081,0
P46670,Q04599,0
P32610,P39676,0
P26321,P38326,0
Q01519,Q04501,0
P53860,Q03048,0
P32385,P53247,0
P0CX53,P25453,0
P32633,Q12672,0
P53305,Q03201,1
P28778,Q08521,0
P0CE90,P38183,0
P28777,P53845,0
P06780,P39735,0
P15700,P39718,0
P32178,P87264,0
P25303,P32781,0
P0C5M2,Q08789,0
P39929,Q12016,0
P53861,Q08054,0
P35127,P47188,0
P0CL41,P38287,0
Q02770,Q12400,0
P53195,P53859,0
P23968,P54000,0
Q04083,Q12322,0
Q06235,Q07651,0
P40503,Q04272,0
P31334,P35996,1
P40530,Q02889,0
P15496,P38723,0
A0A023PYH0,P53630,0
P04161,Q04902,0
O13573,P53184,0
P39718,P53299,0
P38343,Q03730,0
A0A023PZL2,Q12338,0
P38340,Q02803,0
P32854,Q08686,0
P33122,P37267,0
P53754,Q05905,0
P56628,Q12016,0
A0A023PZH5,Q07530,0
P38287,P40502,0
A0A023PXI4,P53200,0
Q03885,Q05533,0
P36528,Q12367,0
P38783,Q05900,0
P23639,P36089,0
O13532,P39108,0
P29589,P38139,0
P10355,P47152,0
P07249,P43615,0
P0CX96,Q07923,0
P21734,P47151,0
P21771,P47019,0
Q03337,Q04401,0
P24867,P38342,0
P25043,Q12155,0
O13531,P33331,0
P14741,P39735,0
P40449,P47032,0
P10566,P48558,0
P0CX17,P36157,0
P48363,Q08702,0
P40570,Q03057,0
P38616,Q12690,0
O13531,P47977,0
P40031,Q12349,0
P13298,Q7LIF2,0
P18408,Q03723,0
P35997,P53941,1
P40481,Q05521,0
P53100,Q03429,0
P43592,Q04410,0
P38803,Q12213,0
P47120,P47149,0
P47053,P53187,0
P38869,Q06511,0
Q08419,Q08842,0
P0CE88,P40008,0
P40065,Q9URQ3,0
Q08457,Q12009,0
P0CX47,Q06235,0
P36144,P39990,1
P53821,Q04898,0
P51402,Q02864,0
P31386,P38279,0
P53168,Q03433,0
P15019,P37303,0
P32771,Q06127,0
P40532,P53856,0
P32353,Q04651,0
P32445,Q12489,0
O13564,Q04814,0
A0A023PXI5,P38334,0
P01120,P39515,0
Q04272,Q12285,0
P40551,P54003,0
P14066,P40555,0
O13546,Q05949,0
P0C0W1,P41805,1
P0CX39,P33442,1
P04037,Q06511,0
P15703,P23059,0
P47141,Q08734,0
Q06551,Q08913,0
P0C5R2,P14120,0
P37267,Q12341,0
P16892,P47080,0
P10834,Q06675,0
Q07555,Q07629,0
A0A023PXI5,P37267,0
P36135,Q3E841,0
P14127,P53295,1
Q06051,Q12288,0
P0CX30,P38912,1
P38223,Q12277,0
P06787,P46964,0
P14063,P53937,1
Q12247,Q12291,0
Q04438,Q05359,0
P36072,P37366,0
P53247,Q08270,0
P36151,P47145,0
P33303,Q08651,0
P40994,Q99219,0
P39013,Q99260,0
Q02969,Q03080,0
A0A023PYK2,P12962,0
P00854,P38079,0
P40464,Q12257,0
P43682,Q02521,0
P53245,P53336,0
Q02046,Q08786,0
P47094,Q05359,0
A0A023PZG9,O13534,0
P46654,Q06551,0
Q03673,Q12191,0
Q08214,Q12450,0
P38872,P43682,0
Q06152,Q06497,0
P36121,Q08361,0
Q12284,Q6Q572,0
P38428,P40891,0
P36059,P38357,0
O13565,P47178,0
P53277,Q12330,1
P36094,P39547,0
P19211,P40493,0
P0CL41,P40154,0
P49723,Q08958,0
P15700,P38175,0
P07703,P23059,0
A0A023PXB5,P42834,0
P32469,P36079,0
P47821,Q12448,0
P32469,Q06703,0
P36060,Q08521,0
P20606,Q01590,0
P32342,Q07928,0
P46989,Q07738,0
P0CF19,P38806,0
P49626,P50947,0
P10127,P32858,0
A0A023PXF2,Q12366,0
P38161,P38806,0
O13550,P15992,0
O13556,P87262,0
P0CX39,P54780,1
P32771,Q04935,0
P38815,Q03525,0
P06100,P20433,0
E9PAD6,P53912,0
P38930,P40014,0
P47085,P53720,0
P38747,Q04004,0
P43613,Q12026,0
P32338,P32781,0
P0CX38,P25046,0
P32460,P38145,0
P38201,Q04867,0
Q12132,Q12288,0
P11633,P53155,0
A0A023PYD9,Q12182,0
P0C5E1,Q08215,0
P40096,Q05900,0
P47022,Q08702,0
P0CF36,P41920,0
P39729,Q06177,0
Q05775,Q3E792,1
P0CX88,Q12030,0
P35718,Q99326,0
P14066,P87012,0
P50087,Q8TGK8,0
P52870,P53157,0
P02293,Q04110,0
P05745,P0C2H6,1
P38812,P43594,0
P05755,P39731,0
P39978,Q08620,0
P38089,Q08723,0
P32463,P36098,0
P40516,Q06695,0
P53299,Q12029,0
P36078,P47128,0
P38797,P47034,0
P33201,Q08235,1
P28005,Q06497,0
O13577,P0C2H8,0
P38768,Q12030,0
P47133,Q06146,0
P34730,P53305,0
P39995,Q07555,0
P36092,P40465,0
P25332,P42847,0
P53926,Q12530,0
P0C2H8,P38061,1
P36095,P48558,0
A0A023PXB9,P14741,0
P31412,P39926,0
Q06636,Q12169,0
O13560,P38696,0
P53275,Q08532,0
P32858,P36147,0
P03069,Q12257,0
P54999,Q12405,0
P32902,Q06390,0
P43605,P46669,0
Q06070,Q6B0Y6,0
P48836,Q04751,0
P0CL38,P39704,0
P33324,P47155,0
A0AAT9JAJ4,P35182,0
P27654,P38884,0
P40561,Q08213,0
P36078,P53962,0
P05373,P53204,0
P53242,Q06537,0
P39953,Q04370,0
P53897,Q12426,0
Q03787,Q12489,0
P0CX25,P53221,1
P05150,P10664,0
P40465,P47105,0
P0CX83,Q04598,0
P38013,Q3E825,0
P38309,Q12123,0
P35997,Q12277,1
P33328,P47123,0
P38336,P40099,0
P38256,Q07978,0
P38066,P40554,0
P16370,Q07532,1
P21801,Q06107,0
P10664,P40101,0
O13540,Q12025,0
P32656,P47044,0
P36138,Q12012,0
P46963,Q12458,0
P53054,Q8TGM6,0
P41819,Q03125,0
P40488,P40565,0
O13541,P05748,0
P19211,P40066,0
P36532,P38876,0
P47150,P53921,1
P48589,P53837,0
P32475,P53329,0
P40004,Q08702,0
P47151,Q08045,0
P10664,Q05933,0
P18408,Q08272,0
P22434,P40503,0
P15873,Q03057,0
P38263,Q08743,0
P0CX32,P32347,0
P40037,P53831,0
Q06151,Q12068,0
P22141,P38327,0
P23059,Q03201,0
P13434,P33333,0
P38616,P53223,0
O94742,P32379,1
O13588,P25659,0
A0A023PXQ4,Q04969,0
P10662,Q06151,0
P36092,Q01684,0
P0CX54,P10664,1
P53864,Q02204,0
Q04839,Q07535,0
Q01855,Q08361,0
P34730,P38350,0
P25571,P36017,0
P38071,Q04062,0
P47058,P53163,0
O13549,Q06522,0
Q03703,Q99210,0
P36019,P53397,0
P37298,Q08422,0
P00360,P0CX79,0
P0CX84,P52871,1
P27882,Q07629,0
P0CE11,Q04935,0
P34730,P38874,0
P53906,Q12240,0
P32288,Q04178,0
P0C2H8,Q99258,0
P43557,Q08027,0
P43576,Q03702,0
P0CL29,P53232,0
P53068,Q08285,0
P53063,Q6B108,0
P40155,Q04413,0
P25575,P33399,0
Q04276,Q12272,0
P03069,P47021,0
P07246,P38240,0
P33421,Q04004,0
O13521,P39715,0
A0A023PYF4,P47148,0
A0A8D9UGU6,P40013,0
P25359,Q08492,1
P00410,Q12378,0
Q04659,Q12345,0
P31334,Q03799,1
P29055,Q06188,0
P39726,Q08756,0
P06785,Q02872,0
Q05874,Q99297,0
P32859,P40551,0
P37267,P53205,0
P47167,P53167,0
P36109,P53871,0
P36030,P53936,0
P43538,P53719,0
A0A023PXG3,O14467,0
P53153,P53168,0
P53275,Q9ZZX9,0
P38779,Q03784,0
P28626,Q05900,0
P21965,Q99345,0
P53748,Q99316,0
O14464,P25626,1
P20133,P32860,0
P36139,Q05947,0
P33309,Q07880,0
A0A023PZE2,Q99219,0
P53163,P53173,0
A0A023PXI4,Q12367,0
P0C0W1,P0CF21,0
P54964,Q04898,0
P27999,P40891,0
P40030,P53045,1
Q12134,Q12270,0
P53178,Q12512,0
A0A023PXB0,O13550,0
P53159,Q07716,0
P0C0V8,P49166,1
P53837,P54858,0
O13516,P38116,0
P38831,Q12403,0
A0A023PYE9,P09937,0
P0C5L6,P51401,0
P53199,P53238,0
A0A023PZE1,Q04898,0
P37267,P53295,0
P25572,P40465,0
P35996,P36528,1
P40509,Q08692,0
P0CZ17,P46784,0
P16151,P42883,0
P38701,P53949,0
P40484,P53691,0
P39552,Q08054,0
P10663,P25626,1
P40202,P47121,0
Q04031,Q08235,1
P06780,P54000,0
P14065,Q02774,0
P38912,Q12167,0
P0CL27,Q04501,0
P40078,P50110,0
A0A023PZF9,P40490,0
Q06549,Q08976,0
P40023,P87267,0
P28519,P53245,0
P33296,P46961,0
P32613,P38334,1
P38305,Q12416,0
P40212,P53084,0
Q12249,Q12477,0
Q05024,Q07990,0
P36027,P46784,0
P46670,Q99318,0
P35731,P53615,0
P36151,Q06139,0
P16547,P53843,0
P47105,Q03879,0
P12687,P38701,1
A0A023PXM2,P0C2H7,0
Q07458,Q08492,0
P40693,Q05778,0
P21560,P40335,0
P38197,Q12070,0
P16370,P34162,1
P00128,P38286,0
O13543,P0CX88,0
Q03201,Q08322,0
P38306,Q04521,0
P00044,P40076,0
P0C074,Q06091,1
P53910,Q03783,0
Q03080,Q12339,0
P32573,P53192,0
O13531,P40092,0
P53058,Q00590,0
O13587,P43613,0
A0A023PXE5,Q02950,0
P02406,P36160,1
P32643,Q3E793,0
P30657,P89886,0
P05745,P47019,1
P25649,P53881,0
P21734,Q04814,0
P35994,P41910,0
P38232,P57743,0
O13553,Q06568,0
P32524,P38332,0
A0A023PYJ7,Q06469,0
P53141,Q12345,0
P0CX41,P85052,0
P07172,P0CD98,0
A0A023PXH9,Q08205,0
P20436,Q12380,0
P38166,P40500,0
P53073,Q06703,0
P35734,P36027,0
P38166,P38730,0
P0CX23,P40339,0
P35195,Q05637,0
P53045,Q6B0Z2,0
O13568,Q05503,0
P17076,P39989,0
P53212,Q12270,0
A0A023PXI4,Q08728,0
Q06071,Q12408,0
P0C5M2,Q06417,0
P0CE97,P38199,0
P0CX45,P53737,0
P42836,Q12347,0
P38872,P53102,0
A0A023PXP7,P53174,0
P38300,Q8TGL0,0
P40089,P42940,0
P32342,Q12146,0
Q02196,Q04033,0
P46973,P53308,0
P38197,Q04398,0
O13565,P40188,0
P38278,P40004,0
P38166,P46962,0
Q02516,Q12047,0
P32610,Q07435,0
A0A023PZG0,P43552,0
P17260,P30657,0
P39978,Q05503,0
P38192,Q12400,0
P15496,P48353,0
P40211,Q04272,0
P14063,Q6WNK7,0
P35181,P40101,0
P08593,Q05788,0
P47115,P53183,0
P47120,P53138,0
P22804,P25659,0
P53927,Q02796,0
O13529,Q3E757,0
P47062,Q06071,0
P38309,Q06267,0
P38729,P50113,0
P33399,P40516,0
P11746,Q12517,0
P30402,P53183,0
P43625,Q12030,0
P05756,P38893,0
P0C2H6,P39516,1
P40459,Q12480,0
P42949,Q01855,0
P25626,P36531,1
O13518,Q99314,0
P40052,Q12481,0
P34251,P40162,0
P38791,Q12378,0
P0CL30,Q12476,0
P36531,P38064,1
P40154,Q12390,0
P40045,Q06333,0
P43545,P54005,0
Q07923,Q12408,0
P25368,Q8TGR5,0
P43594,P50112,0
Q02784,Q07509,0
P53245,Q3E790,0
P38230,P39550,0
P34760,P69850,0
P20434,P25453,0
P32626,P38204,0
A0A023PZE6,P31386,0
O13545,P46669,0
P10659,Q07821,0
P26784,P38362,0
P38715,P53964,0
Q03771,Q08604,0
P9WEJ3,Q12455,0
P0C2H8,P35178,1
P38782,P38902,1
P53077,Q04410,0
P40573,P47086,0
P22141,Q8TGQ2,0
P52286,Q12182,0
P14908,Q07748,0
P36521,P39107,0
P53869,P85052,0
P07270,P40518,0
P47152,Q12285,0
P32570,P47822,1
P38200,Q04341,0
Q04894,Q8TGR5,0
A0A023PXB5,E9PAD8,0
P38082,Q08235,0
P38311,P53834,0
P05737,P05756,1
P00330,P40089,0
E9PAE4,P06781,0
Q06568,Q08553,0
P36099,Q08958,0
A0A023PZE8,P32858,0
P28625,P40167,0
P0CL41,P36019,0
P53065,Q12173,0
P32897,Q12512,0
P40503,Q08976,0
P53872,Q12403,0
P38327,P43600,0
P40454,P40476,0
P53184,Q12515,0
P15454,P47157,0
O13566,Q06834,0
P40542,P87274,0
P15019,P47092,0
P00854,P25607,0
P09007,Q00582,0
Q07927,Q12191,0
P32792,P33328,0
Q01855,Q03290,0
Q01855,Q12345,0
P53824,Q05898,0
Q03050,Q04734,0
P28626,Q07651,0
P0CX56,Q03783,0
P34760,P36517,0
P53167,Q03885,0
P38523,P48606,0
P53242,P53909,0
P43613,P47094,0
P06367,P39983,1
P41817,Q12257,0
P25354,P36526,0
P04449,P28320,0
P38864,Q04751,0
P40156,Q06543,0
P0CY11,P32263,0
P38855,P53108,0
A0A023PZK4,Q12030,0
P33309,P38265,0
P05756,P40043,0
P40893,P50943,0
P11633,P47184,0
P47173,P48238,0
P32344,Q12442,0
P0CE93,P36036,0
P38354,P40075,0
P0CX56,Q9URQ3,0
Q03898,Q12173,0
Q03266,Q06188,0
P12962,P38324,0
P36030,P36521,0
O13540,Q12744,0
P36534,P42847,1
P0C5S0,P38113,0
P39929,Q08213,0
Q04705,Q06524,0
P25443,P40539,0
P38316,Q05905,0
P38751,Q08980,0
P42836,P53275,0
P39931,P47822,0
P0CX79,Q99216,0
P17558,Q12487,1
P53032,P53230,0
P53275,Q02606,0
P02407,Q08213,0
P38294,Q12222,0
P24280,Q12091,0
P17076,P38801,1
P05749,P38779,1
P53102,P53908,0
P48239,Q12130,0
P0CE92,Q07350,0
P33312,P40524,0
P38337,P40538,0
P52868,Q06091,1
P40545,Q12115,0
P36136,Q03029,0
Q04120,Q04329,0
P0CY09,P36010,0
P0CL40,P38077,0
P27680,P52870,0
P38886,Q12146,0
P40490,Q08913,0
P23369,P32611,1
P38071,P42937,0
P21374,Q12245,0
P47021,Q12041,0
P0CH64,P39995,0
P0CX56,P21374,0
P21374,P47076,0
P43595,Q12373,0
P38881,Q06675,0
P32573,P42847,0
P36007,P38322,0
P07703,P53045,0
P38632,Q05498,0
P38224,Q03675,0
P38868,Q7LHD1,0
O42831,P32572,0
Q04226,Q08422,0
P42937,Q08745,0
P39990,Q08096,1
P23638,Q12125,0
P38715,P89888,0
Q06063,Q6B0X2,0
P38749,Q99181,0
O13530,Q02774,0
P0CH09,P38226,0
P0CX23,Q07915,1
P21242,Q07811,0
P53199,Q03920,0
P50091,P53084,0
P23644,P38812,0
P43545,P53100,0
A0A023PZB3,P26321,0
P36071,P50861,0
P32867,P50107,0
A0A023PZH1,Q12169,0
P53975,Q12051,0
P53737,Q08004,0
P32643,Q08702,0
P25337,Q12035,0
P40008,Q12390,0
P40098,Q06813,0
P0CY08,P0CY11,1
P47017,Q06011,0
Q04276,Q12421,0
P38744,P38782,0
P15315,Q12507,0
P40857,Q08293,0
P87282,Q03435,0
Q04031,Q12187,0
A0A023PZD0,P38913,0
P25651,P46671,0
A0A023PZA4,P53216,0
P36089,Q12483,0
P40339,Q12025,0
O13561,Q04082,0
P19516,P38768,0
P40587,Q06385,0
P34227,P53238,0
P40339,Q03322,0
P53011,Q04216,0
Q05473,Q12042,0
P53915,Q02754,0
A0A023PYE4,P40693,0
P05743,P05749,1
Q07949,Q12517,0
P26793,Q3E7Y3,0
P38331,Q05791,0
P39547,P43558,0
A0A023PXF2,Q03020,0
P0CL27,P41318,0
P41338,Q04740,0
P32610,P53262,1
P23059,P53211,0
P15496,P33419,0
P32385,P40455,0
O13545,P01123,0
P39540,Q12068,0
P35997,Q12067,0
P25566,P46998,0
E9PAD8,P51402,0
P38166,P40893,0
P19073,P33303,0
Q05568,Q12015,0
P40107,Q03529,0
P25637,P26784,0
P35735,P47003,0
P53063,P53281,0
P37263,P43545,0
Q05530,Q07843,0
P35994,Q08213,0
A0A023PYF7,P53208,0
P41733,Q3E7Y4,0
P50088,Q06090,0
P53949,Q07541,0
Q03558,Q12012,0
Q8TGK7,Q9ZZW1,0
P29703,Q04019,0
P40052,Q02889,0
P01149,P38858,0
A0A023PZA9,P53054,0
P53187,Q06449,0
P38777,Q12210,0
P53089,P53267,0
Q04299,Q04598,0
P25586,P36525,0
P53206,Q06695,0
P25352,P45820,0
P05318,Q12529,0
P06633,P25348,0
P36526,P53733,1
P53073,P53897,0
P47091,Q99326,0
P05743,P0CE96,0
P28263,P53948,0
P38235,Q3E834,0
P0CE69,P40303,0
P32836,Q12035,0
P06704,Q08728,0
P07280,P53941,1
P53885,Q6B0X2,0
A0A023PZF9,Q12241,0
Q03220,Q08741,0
P46963,Q12107,0
P25640,P53965,0
P40582,Q04471,0
P38773,Q07914,0
P33312,P39516,0
Q04923,Q08202,0
P07347,P48589,0
P26784,P47019,1
P32910,P38722,0
P34162,P35202,0
P0CL28,P53915,0
P50278,P53929,0
P25368,Q08646,0
A0A023PXH2,P61830,0
P40030,P53188,0
P53060,P53229,0
P0C0W9,Q3E772,1
P39938,Q02793,1
P17261,P26793,0
P14066,Q07879,0
O13513,P36157,0
P53930,Q04398,0
P00447,Q07530,0
Q03125,Q08278,0
Q04501,Q05937,0
P47162,P52491,0
P32611,Q06678,1
P0CL40,P37293,0
P38985,P52923,0
P25042,Q06389,0
P36068,P36147,0
